' Make',' Model',Year,price ,' Engine Type',Fuel Economy,' Transmission',' Drivetrain',' Safety Ratings'
' BMW',' X5',2020,7101537,' Diesel',27,' Manual',' AWD',' 5 stars'
' BMW',' X5',2023,6768517,' Diesel',28.1,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2022,5046193,' Diesel',25.8,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2018,6513742,' Diesel',29.4,' Manual',' AWD',' 5 stars'
' BMW',' X5',2018,5166359,' Diesel',26.9,' Manual',' FWD',' 5 stars'
' BMW',' X5',2021,5601625,' Diesel',24.6,' Manual',' RWD',' 5 stars'
' BMW',' X5',2023,5385699,' Diesel',26.3,' Manual',' FWD',' 5 stars'
' BMW',' X5',2020,4884818,' Diesel',25.1,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2016,6176421,' Diesel',24.6,' Manual',' RWD',' 5 stars'
' BMW',' X5',2018,4970111,' Diesel',29.5,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2022,5089639,' Diesel',26.3,' Manual',' FWD',' 5 stars'
' BMW',' X5',2015,535046,' Diesel',24.9,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2021,5178747,' Diesel',28.2,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2017,6209981,' Diesel',25.4,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2018,5859302,' Diesel',26.9,' Manual',' FWD',' 5 stars'
' BMW',' X5',2015,4915789,' Diesel',27.2,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2015,5559564,' Diesel',24.8,' Automatic',' RWD',' 5 stars'
' BMW',' X5',2017,642103,' Diesel',25.2,' Automatic',' AWD',' 5 stars'
' BMW',' X5',2016,4815425,' Diesel',24.5,' Automatic',' FWD',' 5 stars'
' BMW',' X5',2020,5078109,' Diesel',28.3,' Manual',' FWD',' 5 stars'
' BMW',' X5',2020,4811782,' Diesel',27.4,' Manual',' RWD',' 5 stars'
